Y,LNTT,DTL,Size,ATR,ROA,G_ASSET,Price,TL,DLTT,EBITDA,Inven,Cash,che
0.00,224554.00,4.55,13.00,0.16,0.01,7442177.00,56.30,9788330.00,865670.00,1.80,7591882.00,444390.00,34064.00
0.00,93954.00,5.29,13.20,0.76,0.02,2003000.00,23.82,2839218.00,174508.00,0.48,565754.00,126200.00,356500.00
0.00,248574.00,3.98,12.48,0.22,0.06,1669062.00,103.36,2199974.00,1970762.00,2.02,162840.00,600954.00,222600.00
0.00,58776.00,13.25,11.62,1.27,0.02,1132693.00,22.40,2007878.00,0.00,0.20,468468.00,366846.00,0.00
0.00,528122.00,6.82,12.83,0.28,0.04,5106651.00,28.90,8777862.00,1913222.00,1.56,4540502.00,56476.00,0.00
0.00,-563514.00,2.98,13.71,0.35,-0.06,5813735.00,20.30,6666722.00,1587796.00,2.70,2057496.00,462210.00,13888.00
0.00,212292.00,0.85,11.77,0.25,0.05,2214562.00,13.82,1105240.00,55898.00,2.78,473066.00,333830.00,0.00
0.00,344378.00,1.34,10.55,0.26,0.14,1230658.00,93.24,820564.00,426010.00,2.04,315288.00,152622.00,66140.00
0.00,212464.00,0.96,10.76,0.16,0.08,1142643.00,56.70,739396.00,572412.00,-0.12,2774.00,240890.00,281000.00
0.00,17682.00,10.98,11.42,0.59,0.00,1472855.00,15.60,1819094.00,344606.00,0.84,754960.00,49312.00,0.00
0.00,14332.00,4.57,13.43,0.44,0.00,1011534.00,16.20,1467292.00,532714.00,0.00,194744.00,268420.00,9000.00
0.00,582.00,3.28,11.02,0.33,0.00,261458.00,20.20,349946.00,1362.00,0.20,144080.00,8200.00,0.00
0.00,-6752.00,3.54,13.68,0.39,-0.01,1128583.00,12.60,1401650.00,401650.00,1.20,571630.00,29428.00,1970.00
0.00,53806.00,2.76,9.50,0.20,0.05,461457.00,24.00,560338.00,0.00,0.82,491198.00,35754.00,0.00
0.00,23938.00,13.37,10.45,1.06,0.01,65276.00,18.28,1193232.00,15926.00,0.06,239892.00,78100.00,2614.00
0.00,3182.00,5.47,10.84,0.37,0.00,460475.00,8.60,640874.00,78018.00,1.44,255818.00,10118.00,0.00
0.00,25252.00,5.24,9.19,0.45,0.01,753660.00,17.00,1253428.00,480.00,-0.42,473910.00,16060.00,2700.00
0.00,76038.00,8.73,12.12,0.71,0.01,1376815.00,19.54,2719774.00,32746.00,0.42,956340.00,27398.00,271550.00
0.00,35120.00,1.66,10.27,0.09,0.01,1637004.00,30.68,1207674.00,539354.00,0.58,660442.00,319216.00,400000.00
0.00,53854.00,9.67,11.81,0.12,0.01,3723588.00,1.80,3346628.00,84976.00,0.00,1233920.00,484830.00,26036.00
0.00,12508.00,10.71,11.44,1.25,0.01,673267.00,14.60,1184566.00,1740.00,-0.32,341964.00,11666.00,30346.00
0.00,28438.00,1.55,10.30,0.25,0.02,477732.00,10.44,404380.00,101532.00,1.22,59120.00,35248.00,16200.00
0.00,-41744.00,14.38,11.12,0.60,-0.02,1074264.00,9.80,2210156.00,1952.00,1.70,715358.00,7150.00,43400.00
0.00,19820.00,9.67,11.55,0.94,0.01,942288.00,21.20,1452102.00,590.00,-0.04,309156.00,64626.00,21800.00
0.00,4253598.00,3.48,15.46,0.28,0.09,19901591.00,82.34,24893552.00,6908580.00,0.50,4440274.00,3990620.00,3102286.00
1.00,-29076.00,2.33,8.91,0.00,0.00,6013613.00,45.60,3715360.00,3045168.00,0.00,0.00,2017348.00,224.00
1.00,-11492.00,0.10,8.70,0.20,-0.16,27827.00,9.20,3464.00,0.00,-0.56,1948.00,35646.00,19236.00
0.00,3154.00,1.95,9.41,0.84,0.03,64184.00,13.70,45924.00,300.00,-0.08,17402.00,370.00,9782.00
0.00,1602.00,3.89,9.20,0.78,0.01,61664.00,16.80,68922.00,4014.00,1.34,36278.00,7256.00,5200.00
0.00,572.00,6.11,8.40,0.68,0.00,93361.00,26.40,90066.00,990.00,0.58,19670.00,17628.00,7300.00
0.00,12064.00,5.70,9.90,1.25,0.08,84340.00,10.00,106622.00,704.00,-0.44,49446.00,8406.00,2400.00
0.00,-55836.00,0.71,8.06,0.24,-0.51,1327.00,3.20,28588.00,436.00,0.00,33916.00,840.00,3330.00
0.00,270.00,0.89,,0.05,0.01,18032.00,0.00,11338.00,5280.00,0.00,0.00,106.00,0.00
0.00,27885110.00,4.22,19.34,0.26,0.01,441266780.00,192.36,573302104.00,234856890.00,1.88,124990538.00,58807376.00,20827250.00
0.00,8298.00,4.02,12.49,0.60,0.00,819322.00,20.32,1428508.00,85950.00,0.32,314506.00,78074.00,148150.00
0.00,24128.00,2.21,12.21,0.62,0.01,2754648.00,12.12,2198052.00,18174.00,1.26,341582.00,243602.00,23386.00
